region,province,municipality
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Akbar
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Al-Barka
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,City of Lamitan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Hadji Mohammad Ajul
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Hadji Muhtamad
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Lantawan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Maluso
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Sumisip
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Tabuan-Lasa
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Tipo-Tipo
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Tuburan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,Ungkaya Pukan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Amai Manabilang
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Bacolod-Kalawi
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Balabagan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Balindong
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Bayang
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Binidayan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Buadiposo-Buntong
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Bubong
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Butig
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Calanogas
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,City of Marawi
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Ditsaan-Ramain
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Ganassi
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Kapai
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Kapatagan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Lumba-Bayabao
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Lumbaca-Unayan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Lumbatan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Lumbayanague
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Madalum
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Madamba
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Maguing
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Malabang
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Marantao
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Marogong
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Masiu
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Mulondo
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Pagayawan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Piagapo
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Picong
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Poona Bayabao
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Pualas
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Saguiaran
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Sultan Dumalondong
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Tagoloan II
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Tamparan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Taraka
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Tubaran
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Tugaya
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,Wao
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Barira
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Buldon
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,City of Cotabato
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Datu Blah T. Sinsuat
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Datu Odin Sinsuat
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Kabuntalan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Matanog
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Northern Kabuntalan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Parang
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Sultan Kudarat
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Sultan Mastura
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Talitay
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,Upi
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Ampatuan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Buluan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Datu Abdullah Sangki
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Datu Anggal Midtimbang
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Datu Hoffer Ampatuan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Datu Paglas
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Datu Piang
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Datu Salibo
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Datu Saudi Ampatuan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Datu Unsay
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Gen. S.K. Pendatun
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Guindulungan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Mamasapano
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Mangudadatu
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Pagagawan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Pagalungan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Paglat
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Pandag
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Rajah Buayan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Shariff Aguak
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Shariff Saydona Mustapha
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,South Upi
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Sultan Sa Barongis
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Sur,Talayan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Special Geographic Area,Kadayangan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Special Geographic Area,Kapalawan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Special Geographic Area,Ligawasan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Special Geographic Area,Malidegao
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Special Geographic Area,Nabalawag
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Special Geographic Area,Old Kaabakan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Special Geographic Area,Pahamuddin
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Special Geographic Area,Tugunan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,Bongao
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,Languyan
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,Mapun
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,Panglima Sugala
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,Sapa-Sapa
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,Sibutu
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,Simunul
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,Sitangkai
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,South Ubian
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,Tandubas
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,Turtle Islands
Cordillera Administrative Region (CAR),Abra,Bangued
Cordillera Administrative Region (CAR),Abra,Boliney
Cordillera Administrative Region (CAR),Abra,Bucay
Cordillera Administrative Region (CAR),Abra,Bucloc
Cordillera Administrative Region (CAR),Abra,Daguioman
Cordillera Administrative Region (CAR),Abra,Danglas
Cordillera Administrative Region (CAR),Abra,Dolores
Cordillera Administrative Region (CAR),Abra,La Paz
Cordillera Administrative Region (CAR),Abra,Lacub
Cordillera Administrative Region (CAR),Abra,Lagangilang
Cordillera Administrative Region (CAR),Abra,Lagayan
Cordillera Administrative Region (CAR),Abra,Langiden
Cordillera Administrative Region (CAR),Abra,Licuan-Baay
Cordillera Administrative Region (CAR),Abra,Luba
Cordillera Administrative Region (CAR),Abra,Malibcong
Cordillera Administrative Region (CAR),Abra,Manabo
Cordillera Administrative Region (CAR),Abra,Peñarrubia
Cordillera Administrative Region (CAR),Abra,Pidigan
Cordillera Administrative Region (CAR),Abra,Pilar
Cordillera Administrative Region (CAR),Abra,Sallapadan
Cordillera Administrative Region (CAR),Abra,San Isidro
Cordillera Administrative Region (CAR),Abra,San Juan
Cordillera Administrative Region (CAR),Abra,San Quintin
Cordillera Administrative Region (CAR),Abra,Tayum
Cordillera Administrative Region (CAR),Abra,Tineg
Cordillera Administrative Region (CAR),Abra,Tubo
Cordillera Administrative Region (CAR),Abra,Villaviciosa
Cordillera Administrative Region (CAR),Apayao,Calanasan
Cordillera Administrative Region (CAR),Apayao,Conner
Cordillera Administrative Region (CAR),Apayao,Flora
Cordillera Administrative Region (CAR),Apayao,Kabugao
Cordillera Administrative Region (CAR),Apayao,Luna
Cordillera Administrative Region (CAR),Apayao,Pudtol
Cordillera Administrative Region (CAR),Apayao,Santa Marcela
Cordillera Administrative Region (CAR),Benguet,Atok
